Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Continent,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Myanmar,56590071,35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05,78,Asia,99.15,0.8500000000000001,AB-,O+
Namibia,2678191,50.58,20.49,20.21,1.02,4.22,1.71,1.69,0.08,79,Africa,92.3,7.699999999999999,AB-,O+
Nepal,30327877,35.2,36.3,27.1,2.6,0.3,0.2,0.2,0.1,80,Asia,101.19999999999999,0.7999999999999999,AB-,A+
Netherlands,17280397,38.2,36.6,7.7,2.5,6.8,6.4,1.3,0.5,81,Europe,85.00000000000001,15.0,AB-,O+
New Zealand,4925477,38.0,32.0,9.0,3.0,9.0,6.0,2.0,1.0,82,Oceania,82.0,18.0,AB-,O+
Nicaragua,6243931,62.0,20.0,11.0,4.0,1.0,1.0,0.7,0.3,83,North America,97.0,3.0,AB-,O+
Nigeria,219463862,50.23,21.61,19.59,3.47,2.7,1.16,1.05,0.19,84,Africa,94.9,5.1000000000000005,AB-,O+
North Korea,25643466,27.15,31.08,30.15,11.32,0.08,0.1,0.1,0.03,85,Asia,99.69999999999999,0.31000000000000005,AB-,A+
North Macedonia,2125971,30.0,34.0,15.0,6.0,5.0,6.0,3.0,1.0,86,Europe,85.0,15.0,AB-,A+
Norway,5467439,33.2,41.6,6.8,3.4,5.8,7.4,1.2,0.6,87,Europe,85.00000000000001,14.999999999999998,AB-,A+
Pakistan,238181034,30.04,21.53,30.24,8.83,3.1,2.22,3.13,0.91,88,Asia,90.64,9.36,AB-,B+
Papua New Guinea,7259456,48.0,37.2,9.6,2.8,1.0,0.8,0.4,0.2,89,Oceania,97.6,2.4000000000000004,AB-,O+
Paraguay,7272639,56.07,28.32,4.72,1.38,5.89,2.97,0.49,0.15,90,South America,90.49,9.5,AB-,O+
Peru,31914989,70.0,18.4,7.8,1.6,1.4,0.5,0.28,0.02,91,South America,97.8,2.1999999999999997,AB-,O+
Philippines,109180815,45.9,22.9,24.9,5.97,0.1,0.1,0.1,0.03,92,Asia,99.66999999999999,0.33000000000000007,AB-,O+
Poland,38282325,31.0,32.0,15.0,7.0,6.0,6.0,2.0,1.0,93,Europe,85.0,15.0,AB-,A+
Portugal,10302674,36.2,39.8,6.6,2.9,6.1,6.8,1.1,0.5,94,Europe,85.5,14.499999999999998,AB-,A+
Romania,21230362,28.0,37.0,14.0,7.0,5.0,6.0,2.0,1.0,95,Europe,86.0,14.0,AB-,A+
Russia,145478097,46.0,31.0,9.0,2.1,6.0,4.0,1.0,0.9,96,Europe,88.1,11.9,AB-,O+
Saudi Arabia,34173498,47.8,23.9,17.0,4.0,4.0,2.0,1.0,0.3,97,Asia,92.69999999999999,7.3,AB-,O+
Serbia,7012165,31.92,35.28,12.6,4.2,6.08,6.72,2.4,0.8,98,Europe,84.0,16.0,AB-,A+
Singapore,6209660,44.7,23.9,24.5,5.6,0.6,0.3,0.3,0.1,99,Asia,98.69999999999999,1.3,AB-,O+
Slovakia,5440602,27.2,35.7,15.3,6.8,4.8,6.3,2.7,1.2,100,Europe,85.0,15.0,AB-,A+
Slovenia,2102678,31.0,33.0,12.0,6.0,7.0,7.0,3.0,1.0,101,Europe,82.0,18.0,AB-,A+
Somalia,12094640,52.8,19.36,12.32,3.52,7.2,2.64,1.68,0.48,102,Africa,87.99999999999999,12.0,AB-,O+
South Africa,56463617,39.0,32.0,12.0,3.0,6.0,5.0,2.0,1.0,103,Africa,86.0,14.0,AB-,O+
South Korea,51835110,26.8,34.4,27.0,14.4,0.1,0.1,0.1,0.1,104,Asia,102.60000000000001,0.4,O-,A+
Sri Lanka,23044123,43.42,21.0,25.78,5.13,2.12,1.04,1.25,0.26,106,Asia,95.33,4.67,AB-,O+
Spain,50015792,35.0,36.0,8.0,2.5,9.0,7.0,2.0,0.5,105,Europe,81.5,18.5,AB-,A+
Sudan,45561556,48.0,27.7,15.2,2.8,3.5,1.8,0.8,0.2,107,Africa,93.7,6.3,AB-,O+
Sweden,10202491,32.0,37.0,10.0,5.0,6.0,7.0,2.0,1.0,108,Europe,84.0,16.0,AB-,A+
Switzerland,8403994,35.0,38.0,8.0,4.0,6.0,7.0,1.0,1.0,109,Europe,85.0,15.0,B-,A+
Syria,19398448,43.0,30.0,14.0,3.7,5.0,3.0,1.0,0.3,110,Asia,90.7,9.3,AB-,O+
Taiwan,23603049,43.9,25.9,23.9,6.0,0.17,0.1,0.01,0.02,111,Asia,99.69999999999999,0.30000000000000004,B-,O+
Thailand,68977400,40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03,112,Asia,99.47,0.53,AB-,O+
Tunisia,11811335,41.86,28.21,16.38,4.55,4.14,2.79,1.62,0.45,113,Africa,90.99999999999999,9.0,AB-,O+
Turkey,82017514,29.8,37.8,14.2,7.2,3.9,4.7,1.6,0.8,114,Asia,89.0,11.0,AB-,A+
Uganda,44712143,49.29,24.11,20.29,4.41,1.01,0.49,0.41,0.09,115,Africa,98.1,2.0,AB-,O+
Ukraine,43922939,32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0,116,Europe,86.0,14.0,AB-,A+
United Arab Emirates,9992083,44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4,117,Asia,91.2,8.8,AB-,O+
United Kingdom,65761117,35.0,30.0,9.0,2.0,13.0,8.0,2.0,1.0,118,Europe,76.0,24.0,AB-,O+
United States,334998398,37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6,119,North America,85.0,14.999999999999998,AB-,O+
Uzbekistan,30842796,29.42,30.93,24.98,9.27,1.68,1.77,1.42,0.53,120,Asia,94.6,5.4,AB-,A+
Venezuela,28644603,58.3,28.2,5.6,1.9,3.7,1.8,0.4,0.1,121,South America,94.0,6.0,AB-,O+
Vietnam,98721275,41.7,21.9,30.8,4.98,0.3,0.1,0.2,0.02,122,Asia,99.38000000000001,0.6200000000000001,AB-,O+
Yemen,29884405,47.84,27.5,15.32,2.14,3.66,2.1,1.17,0.16,124,Asia,92.8,7.09,AB-,O+
Zimbabwe,14546314,63.3,18.5,14.6,0.99,1.7,0.5,0.4,0.01,125,Africa,97.38999999999999,2.61,AB-,O+
World,7772850805,37.37,27.24,22.83,6.22,2.69,2.09,1.16,0.4,123,World,93.66,6.34,AB-,O+
